r
Give solNr:
1
Give nPoints:
101
Give global coordinates of a point1 (x,y,z):
0.5 0 0
Give global coordinates of a point2 (x,y,z):
0.5 1 0
x	y	z	sol0	sol1	sol2	sol3	
0.500000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.005716	
0.500000	0.010000	0.000000	-0.039526	0.000132	0.000000	-0.005664	
0.500000	0.020000	0.000000	-0.075186	0.000528	0.000000	-0.005679	
0.500000	0.030000	0.000000	-0.107953	0.000672	0.000000	-0.005790	
0.500000	0.040000	0.000000	-0.138407	0.000582	0.000000	-0.006018	
0.500000	0.050000	0.000000	-0.166845	0.000172	0.000000	-0.006304	
0.500000	0.060000	0.000000	-0.194026	-0.000520	0.000000	-0.006876	
0.500000	0.070000	0.000000	-0.220336	-0.001203	0.000000	-0.007621	
0.500000	0.080000	0.000000	-0.245861	-0.002083	0.000000	-0.008642	
0.500000	0.090000	0.000000	-0.270732	-0.002529	0.000000	-0.009992	
0.500000	0.100000	0.000000	-0.294282	-0.002819	0.000000	-0.011664	
0.500000	0.110000	0.000000	-0.316698	-0.003005	0.000000	-0.013655	
0.500000	0.120000	0.000000	-0.336531	-0.002764	0.000000	-0.016095	
0.500000	0.130000	0.000000	-0.353830	-0.002349	0.000000	-0.018879	
0.500000	0.140000	0.000000	-0.367749	-0.001617	0.000000	-0.022048	
0.500000	0.150000	0.000000	-0.378125	-0.000647	0.000000	-0.025487	
0.500000	0.160000	0.000000	-0.384727	0.000340	0.000000	-0.029242	
0.500000	0.170000	0.000000	-0.387688	0.001321	0.000000	-0.033185	
0.500000	0.180000	0.000000	-0.386746	0.002351	0.000000	-0.037257	
0.500000	0.190000	0.000000	-0.383010	0.003437	0.000000	-0.041472	
0.500000	0.200000	0.000000	-0.376139	0.004324	0.000000	-0.045649	
0.500000	0.210000	0.000000	-0.367145	0.005144	0.000000	-0.049789	
0.500000	0.220000	0.000000	-0.356542	0.005859	0.000000	-0.053836	
0.500000	0.230000	0.000000	-0.344769	0.006470	0.000000	-0.057758	
0.500000	0.240000	0.000000	-0.332375	0.007018	0.000000	-0.061572	
0.500000	0.250000	0.000000	-0.319663	0.007433	0.000000	-0.065194	
0.500000	0.260000	0.000000	-0.306984	0.007834	0.000000	-0.068662	
0.500000	0.270000	0.000000	-0.294522	0.008199	0.000000	-0.071972	
0.500000	0.280000	0.000000	-0.282426	0.008553	0.000000	-0.075149	
0.500000	0.290000	0.000000	-0.270725	0.008937	0.000000	-0.078181	
0.500000	0.300000	0.000000	-0.259535	0.009368	0.000000	-0.081045	
0.500000	0.310000	0.000000	-0.248686	0.009844	0.000000	-0.083793	
0.500000	0.320000	0.000000	-0.238168	0.010353	0.000000	-0.086441	
0.500000	0.330000	0.000000	-0.227986	0.010938	0.000000	-0.088960	
0.500000	0.340000	0.000000	-0.217996	0.011570	0.000000	-0.091373	
0.500000	0.350000	0.000000	-0.208172	0.012252	0.000000	-0.093691	
0.500000	0.360000	0.000000	-0.198456	0.012991	0.000000	-0.095891	
0.500000	0.370000	0.000000	-0.188812	0.013766	0.000000	-0.097996	
0.500000	0.380000	0.000000	-0.179197	0.014573	0.000000	-0.100003	
0.500000	0.390000	0.000000	-0.169597	0.015422	0.000000	-0.101901	
0.500000	0.400000	0.000000	-0.159992	0.016300	0.000000	-0.103699	
0.500000	0.410000	0.000000	-0.150362	0.017194	0.000000	-0.105403	
0.500000	0.420000	0.000000	-0.140702	0.018105	0.000000	-0.107010	
0.500000	0.430000	0.000000	-0.131012	0.019039	0.000000	-0.108479	
0.500000	0.440000	0.000000	-0.121297	0.019984	0.000000	-0.109891	
0.500000	0.450000	0.000000	-0.111548	0.020941	0.000000	-0.111152	
0.500000	0.460000	0.000000	-0.101776	0.021907	0.000000	-0.112352	
0.500000	0.470000	0.000000	-0.091971	0.022883	0.000000	-0.113404	
0.500000	0.480000	0.000000	-0.082137	0.023864	0.000000	-0.114389	
0.500000	0.490000	0.000000	-0.072275	0.024856	0.000000	-0.115236	
0.500000	0.500000	0.000000	-0.062386	0.025848	0.000000	-0.115989	
0.500000	0.510000	0.000000	-0.052466	0.026843	0.000000	-0.116634	
0.500000	0.520000	0.000000	-0.042505	0.027851	0.000000	-0.117187	
0.500000	0.530000	0.000000	-0.032519	0.028845	0.000000	-0.117599	
0.500000	0.540000	0.000000	-0.022489	0.029843	0.000000	-0.117923	
0.500000	0.550000	0.000000	-0.012417	0.030854	0.000000	-0.118140	
0.500000	0.560000	0.000000	-0.002301	0.031860	0.000000	-0.118254	
0.500000	0.570000	0.000000	0.007859	0.032849	0.000000	-0.118259	
0.500000	0.580000	0.000000	0.018081	0.033831	0.000000	-0.118154	
0.500000	0.590000	0.000000	0.028361	0.034808	0.000000	-0.117948	
0.500000	0.600000	0.000000	0.038721	0.035775	0.000000	-0.117634	
0.500000	0.610000	0.000000	0.049129	0.036722	0.000000	-0.117222	
0.500000	0.620000	0.000000	0.059637	0.037682	0.000000	-0.116699	
0.500000	0.630000	0.000000	0.070229	0.038601	0.000000	-0.116089	
0.500000	0.640000	0.000000	0.080883	0.039478	0.000000	-0.115362	
0.500000	0.650000	0.000000	0.091687	0.040379	0.000000	-0.114552	
0.500000	0.660000	0.000000	0.102583	0.041232	0.000000	-0.113636	
0.500000	0.670000	0.000000	0.113598	0.042045	0.000000	-0.112619	
0.500000	0.680000	0.000000	0.124788	0.042833	0.000000	-0.111533	
0.500000	0.690000	0.000000	0.136075	0.043577	0.000000	-0.110323	
0.500000	0.700000	0.000000	0.147550	0.044281	0.000000	-0.109048	
0.500000	0.710000	0.000000	0.159190	0.044935	0.000000	-0.107660	
0.500000	0.720000	0.000000	0.170978	0.045575	0.000000	-0.106194	
0.500000	0.730000	0.000000	0.183014	0.046136	0.000000	-0.104651	
0.500000	0.740000	0.000000	0.195210	0.046663	0.000000	-0.103022	
0.500000	0.750000	0.000000	0.207602	0.047123	0.000000	-0.101333	
0.500000	0.760000	0.000000	0.220182	0.047545	0.000000	-0.099544	
0.500000	0.770000	0.000000	0.232943	0.047871	0.000000	-0.097705	
0.500000	0.780000	0.000000	0.245845	0.048112	0.000000	-0.095815	
0.500000	0.790000	0.000000	0.258807	0.048249	0.000000	-0.093841	
0.500000	0.800000	0.000000	0.271868	0.048293	0.000000	-0.091851	
0.500000	0.810000	0.000000	0.284916	0.048265	0.000000	-0.089808	
0.500000	0.820000	0.000000	0.297839	0.048101	0.000000	-0.087748	
0.500000	0.830000	0.000000	0.310601	0.047758	0.000000	-0.085649	
0.500000	0.840000	0.000000	0.323030	0.047259	0.000000	-0.083586	
0.500000	0.850000	0.000000	0.335048	0.046650	0.000000	-0.081535	
0.500000	0.860000	0.000000	0.346424	0.045819	0.000000	-0.079506	
0.500000	0.870000	0.000000	0.357073	0.044787	0.000000	-0.077529	
0.500000	0.880000	0.000000	0.366939	0.043544	0.000000	-0.075676	
0.500000	0.890000	0.000000	0.375686	0.041969	0.000000	-0.073877	
0.500000	0.900000	0.000000	0.383772	0.040293	0.000000	-0.072203	
0.500000	0.910000	0.000000	0.391091	0.038137	0.000000	-0.070648	
0.500000	0.920000	0.000000	0.398834	0.035722	0.000000	-0.069265	
0.500000	0.930000	0.000000	0.409306	0.032222	0.000000	-0.068096	
0.500000	0.940000	0.000000	0.426946	0.028165	0.000000	-0.066993	
0.500000	0.950000	0.000000	0.458273	0.023177	0.000000	-0.066052	
0.500000	0.960000	0.000000	0.508337	0.017361	0.000000	-0.065061	
0.500000	0.970000	0.000000	0.591193	0.010945	0.000000	-0.064621	
0.500000	0.980000	0.000000	0.706540	0.005164	0.000000	-0.064088	
0.500000	0.990000	0.000000	0.848222	0.002024	0.000000	-0.063624	
0.500000	1.000000	0.000000	1.000000	-0.000000	0.000000	-0.063097	
