# 20x20 t4
#Give solution component number (>=0):
#3
#Give number of points (>0):
#101
#Give global coordinates of a point1 (x,y,z):
#0.5 0 0
#Give global coordinates of a point2 (x,y,z):
#0.5 1 0
#x       y       z       sol0    sol1    sol2    sol3
0.500000        0.000000        0.000000        -0.000000       0.000000        0.000000       0.001582
0.500000        0.010000        0.000000        -0.000000       0.000000        0.000000       0.001549
0.500000        0.020000        0.000000        -0.000000       0.000000        0.000000       0.001516
0.500000        0.030000        0.000000        -0.000295       0.000000        0.000000       0.001492
0.500000        0.040000        0.000000        -0.001097       0.000000        0.000000       0.001484
0.500000        0.050000        0.000000        -0.001899       0.000000        0.000000       0.001476
0.500000        0.060000        0.000000        -0.002683       0.000000        0.000000       0.001499
0.500000        0.070000        0.000000        -0.003462       0.000000        0.000000       0.001533
0.500000        0.080000        0.000000        -0.004158       -0.000033       0.000000       0.001558
0.500000        0.090000        0.000000        -0.004158       -0.000345       0.000000       0.001501
0.500000        0.100000        0.000000        -0.004158       -0.000657       0.000000       0.001445
0.500000        0.110000        0.000000        -0.004158       -0.000674       0.000000       0.001509
0.500000        0.120000        0.000000        -0.004158       -0.000361       0.000000       0.001706
0.500000        0.130000        0.000000        -0.004158       -0.000049       0.000000       0.001903
0.500000        0.140000        0.000000        -0.002827       0.000000        0.000000       0.001959
0.500000        0.150000        0.000000        -0.001247       0.000000        0.000000       0.001988
0.500000        0.160000        0.000000        0.000019        0.000019        0.000000       0.002042
0.500000        0.170000        0.000000        0.000106        0.000106        0.000000       0.002190
0.500000        0.180000        0.000000        0.000194        0.000194        0.000000       0.002338
0.500000        0.190000        0.000000        0.000231        -0.000468       0.000000       0.002435
0.500000        0.200000        0.000000        0.000231        -0.001675       0.000000       0.002496
0.500000        0.210000        0.000000        0.000231        -0.002882       0.000000       0.002557
0.500000        0.220000        0.000000        0.000231        -0.001802       0.000000       0.002856
0.500000        0.230000        0.000000        0.000231        -0.000595       0.000000       0.003168
0.500000        0.240000        0.000000        -0.000316       0.000204        0.000000       0.003370
0.500000        0.250000        0.000000        -0.002050       0.000116        0.000000       0.003337
0.500000        0.260000        0.000000        -0.003784       0.000028        0.000000       0.003304
0.500000        0.270000        0.000000        -0.004535       0.000082        0.000000       0.003173
0.500000        0.280000        0.000000        -0.004832       0.000201        0.000000       0.002997
0.500000        0.290000        0.000000        -0.005241       0.000334        0.000000       0.002848
0.500000        0.300000        0.000000        -0.007683       0.000713        0.000000       0.003167
0.500000        0.310000        0.000000        -0.010125       0.001091        0.000000       0.003487
0.500000        0.320000        0.000000        -0.012013       0.001588        0.000000       0.003477
0.500000        0.330000        0.000000        -0.013139       0.002248        0.000000       0.003011
0.500000        0.340000        0.000000        -0.014266       0.002908        0.000000       0.002545
0.500000        0.350000        0.000000        -0.015319       0.002104        0.000000       0.002497
0.500000        0.360000        0.000000        -0.016353       0.000911        0.000000       0.002559
0.500000        0.370000        0.000000        -0.017359       0.000044        0.000000       0.002679
0.500000        0.380000        0.000000        -0.018223       0.000921        0.000000       0.003105
0.500000        0.390000        0.000000        -0.019086       0.001797        0.000000       0.003531
0.500000        0.400000        0.000000        -0.017617       0.002500        0.000000       0.003724
0.500000        0.410000        0.000000        -0.014049       0.003047        0.000000       0.003706
0.500000        0.420000        0.000000        -0.010480       0.003594        0.000000       0.003688
0.500000        0.430000        0.000000        -0.010105       0.004104        0.000000       0.003585
0.500000        0.440000        0.000000        -0.010105       0.004611        0.000000       0.003473
0.500000        0.450000        0.000000        -0.009952       0.005469        0.000000       0.003337
0.500000        0.460000        0.000000        -0.009374       0.007311        0.000000       0.003138
0.500000        0.470000        0.000000        -0.008795       0.009153        0.000000       0.002940
0.500000        0.480000        0.000000        -0.010605       0.010168        0.000000       0.002780
0.500000        0.490000        0.000000        -0.013807       0.010700        0.000000       0.002642
0.500000        0.500000        0.000000        -0.017010       0.011232        0.000000       0.002505
0.500000        0.510000        0.000000        -0.023867       0.012365        0.000000       0.002460
0.500000        0.520000        0.000000        -0.030725       0.013498        0.000000       0.002414
0.500000        0.530000        0.000000        -0.036197       0.014116        0.000000       0.002216
0.500000        0.540000        0.000000        -0.039294       0.013852        0.000000       0.001756
0.500000        0.550000        0.000000        -0.042391       0.013589        0.000000       0.001296
0.500000        0.560000        0.000000        -0.044533       0.014589        0.000000       0.001195
0.500000        0.570000        0.000000        -0.046333       0.016041        0.000000       0.001223
0.500000        0.580000        0.000000        -0.047674       0.017340        0.000000       0.001178
0.500000        0.590000        0.000000        -0.045105       0.017349        0.000000       0.000524
0.500000        0.600000        0.000000        -0.042535       0.017358        -0.000000      -0.000129
0.500000        0.610000        0.000000        -0.036655       0.017285        -0.000000      -0.000443
0.500000        0.620000        0.000000        -0.027094       0.017121        -0.000000      -0.000379
0.500000        0.630000        0.000000        -0.017534       0.016956        -0.000000      -0.000315
0.500000        0.640000        0.000000        -0.017139       0.014115        -0.000000      -0.000467
0.500000        0.650000        0.000000        -0.018464       0.010772        -0.000000      -0.000658
0.500000        0.660000        0.000000        -0.019509       0.008071        -0.000000      -0.000823
0.500000        0.670000        0.000000        -0.019509       0.007776        -0.000000      -0.000884
0.500000        0.680000        0.000000        -0.019509       0.007482        -0.000000      -0.000945
0.500000        0.690000        0.000000        -0.029822       0.007165        -0.000000      -0.000905
0.500000        0.700000        0.000000        -0.047635       0.006832        -0.000000      -0.000792
0.500000        0.710000        0.000000        -0.065447       0.006499        -0.000000      -0.000678
0.500000        0.720000        0.000000        -0.074180       0.006435        -0.000000      0.000005
0.500000        0.730000        0.000000        -0.082409       0.006385        0.000000       0.000719
0.500000        0.740000        0.000000        -0.088577       0.007523        0.000000       0.001225
0.500000        0.750000        0.000000        -0.090280       0.011232        0.000000       0.001277
0.500000        0.760000        0.000000        -0.091983       0.014942        0.000000       0.001330
0.500000        0.770000        0.000000        -0.093151       0.017048        0.000000       0.001233
0.500000        0.780000        0.000000        -0.094073       0.018415        0.000000       0.001065
0.500000        0.790000        0.000000        -0.094904       0.019608        0.000000       0.000867
0.500000        0.800000        0.000000        -0.094101       0.017685        0.000000       0.000095
0.500000        0.810000        0.000000        -0.093297       0.015761        -0.000000      -0.000676
0.500000        0.820000        0.000000        -0.090278       0.014614        -0.000000      -0.000916
0.500000        0.830000        0.000000        -0.084213       0.014533        -0.000000      -0.000424
0.500000        0.840000        0.000000        -0.078147       0.014453        -0.000000      0.000067
0.500000        0.850000        0.000000        -0.070412       0.012399        0.000000       0.000261
0.500000        0.860000        0.000000        -0.062232       0.009819        0.000000       0.000375
0.500000        0.870000        0.000000        -0.054153       0.006718        0.000000       0.000427
0.500000        0.880000        0.000000        -0.046620       0.000844        0.000000       0.000145
0.500000        0.890000        0.000000        -0.039087       -0.005030       0.000000       -0.000137
0.500000        0.900000        0.000000        -0.039041       -0.005988       0.000000       0.001834
0.500000        0.910000        0.000000        -0.045733       -0.002522       0.000000       0.005832
0.500000        0.920000        0.000000        -0.052425       0.000944        0.000000       0.009830
0.500000        0.930000        0.000000        -0.037706       0.008324        0.000000       0.008845
0.500000        0.940000        0.000000        -0.020469       0.016165        0.000000       0.007275
0.500000        0.950000        0.000000        0.045344        0.021942        0.000000       0.005481
0.500000        0.960000        0.000000        0.247172        0.021942        0.000000       0.003066
0.500000        0.970000        0.000000        0.449000        0.021942        0.000000       0.000650
0.500000        0.980000        0.000000        0.637751        0.016676        0.000000       -0.004173
0.500000        0.990000        0.000000        0.818876        0.008338        0.000000       -0.010401
0.500000        1.000000        0.000000        1.000000        -0.000000       -0.000000      -0.016628
